id,nome,sobrenome,email,ip_acesso,bandeira_cartao,data_compra,produto,valor,latitude,longitude
206,Coralyn,Dicty,cdicty5p@shinystat.com,244.58.239.164,instapayment,2020-05-11,819359581-5,51.08,-7.0120918,108.3905156
207,Barbie,Winckle,bwinckle5q@guardian.co.uk,245.150.112.152,bankcard,2020-01-02,943759386-8,37.42,7.1220009,124.5600318
208,Berenice,Sparrow,bsparrow5r@apache.org,66.200.22.27,jcb,2020-10-13,475739025-4,86.92,26.885704,120.005147
209,Ray,Himsworth,rhimsworth5s@guardian.co.uk,239.165.194.188,jcb,2020-03-16,403440816-2,60.23,49.0535092,16.8367681
210,Niven,Loxdale,nloxdale5t@berkeley.edu,145.206.85.125,switch,2020-10-01,675354892-0,59.54,37.8450241,-25.231895
211,Frank,Pods,fpods5u@vinaora.com,3.231.148.53,jcb,2020-05-10,366554432-7,29.31,31.44803,73.71257
212,Olenolin,Rooms,orooms5v@dot.gov,101.251.57.21,jcb,2020-02-20,293796384-6,74.93,12.8897363,100.9010416
213,Merwin,Yoseloff,myoseloff5w@forbes.com,40.180.177.209,switch,2020-05-30,080454753-X,88.74,46.9755236,30.469358
214,Raviv,Howden,rhowden5x@godaddy.com,245.55.128.179,maestro,2020-02-23,711124591-1,51.73,40.8449853,-7.939099
215,Melantha,Simoni,msimoni5y@cnn.com,207.118.248.48,jcb,2020-06-01,128078100-9,52.64,30.311056,112.255583
216,Nissy,Frigout,nfrigout5z@ca.gov,160.125.223.199,jcb,2020-07-13,393984755-0,16.07,-14.116667,-73.616667
217,Mohammed,Arnhold,marnhold60@cargocollective.com,97.49.70.18,maestro,2020-09-15,855669434-9,18.26,16.5544,44.29048
218,Max,Bagworth,mbagworth61@sogou.com,168.139.118.37,diners-club-enroute,2020-08-10,739405967-7,35.45,10.4373128,121.9944005
219,Ardyth,MacAdam,amacadam62@163.com,25.150.210.152,americanexpress,2020-09-29,678920041-X,42.40,38.6289203,-90.2051538
220,Conway,Bennough,cbennough63@oakley.com,173.125.10.229,jcb,2020-10-28,399676238-0,17.40,12.4894021,-13.3067562
221,Ynes,Shovelbottom,yshovelbottom64@goo.gl,112.94.128.110,mastercard,2020-11-24,197097619-5,14.81,-14.0691337,-70.4281661
222,Lamar,Le Batteur,llebatteur65@ted.com,186.49.60.229,jcb,2020-12-06,554972408-1,73.60,15.5216056,103.2201828
223,Dori,Satterlee,dsatterlee66@vkontakte.ru,2.153.35.134,visa-electron,2020-07-16,130014334-7,20.13,15.18533,43.51122
224,Olivero,O'Kelly,ookelly67@indiatimes.com,204.56.244.155,maestro,2020-11-18,822044848-2,20.56,54.8732209,69.1505479
225,Rafaello,Caves,rcaves68@google.ca,6.246.195.150,jcb,2020-04-02,473121392-4,53.56,26.520513,115.067761
226,Giacomo,Petrulis,gpetrulis69@ihg.com,129.183.23.202,jcb,2020-10-31,692593960-4,66.72,6.6493305,6.3917654
227,Glyn,Noulton,gnoulton6a@angelfire.com,33.60.176.105,jcb,2020-03-27,585951911-7,79.42,47.1910839,18.4095578
228,Aldus,Gomme,agomme6b@sfgate.com,132.68.75.47,mastercard,2020-09-16,654279777-7,78.18,39.142026,117.212606
229,Odessa,Catton,ocatton6c@shop-pro.jp,87.21.155.86,jcb,2020-07-17,594128049-1,85.35,43.1023643,40.618282
230,Rochester,Jumeau,rjumeau6d@icq.com,1.7.17.167,jcb,2020-05-26,293043847-9,85.14,33.2934023,119.282264
231,Cyril,Chase,cchase6e@wired.com,109.62.151.237,diners-club-international,2020-09-30,132559308-7,93.14,45.1611659,20.7866062
232,Quint,Matskevich,qmatskevich6f@ustream.tv,94.143.152.159,bankcard,2020-05-07,669003151-9,36.76,1.0788178,30.3896651
233,Burtie,Pinnijar,bpinnijar6g@state.tx.us,150.6.110.243,laser,2020-02-17,761312969-1,7.05,50.4145342,23.2170296
234,Minette,Haryngton,mharyngton6h@ehow.com,218.198.18.196,mastercard,2020-05-17,657809345-1,11.35,36.5098375,37.3373042
235,Tammara,Castellet,tcastellet6i@bloomberg.com,143.40.52.167,visa-electron,2020-04-07,960503360-7,87.40,41.933917,126.422806
236,Rozalie,Jeary,rjeary6j@irs.gov,60.83.246.90,jcb,2020-12-02,847106770-6,36.85,43.1283145,5.9294606
237,Clotilda,Romera,cromera6k@mysql.com,152.48.48.82,diners-club-carte-blanche,2020-02-22,062899995-X,51.83,15.97431,43.46381
238,Imelda,Speere,ispeere6l@usda.gov,6.26.46.24,maestro,2020-05-20,405871906-0,45.81,-16.5043107,-71.3616546
239,Ferd,Marshfield,fmarshfield6m@unicef.org,107.111.8.75,jcb,2020-10-27,783583666-1,24.68,51.1448845,20.1864915
240,Conni,Turban,cturban6n@biblegateway.com,111.199.240.32,switch,2020-02-05,067080881-4,31.19,55.7538999,37.6451342
241,Carlie,Baccas,cbaccas6o@networksolutions.com,118.115.109.59,maestro,2020-06-05,795723509-3,22.73,41.0826078,20.4425942
242,Maurine,Murdie,mmurdie6p@japanpost.jp,254.223.28.5,jcb,2020-12-18,426890338-0,27.52,42.9228102,17.1657568
243,Gothart,Schrir,gschrir6q@cpanel.net,232.37.23.184,maestro,2020-07-23,745434783-5,72.40,45.5641261,5.9680907
244,Frants,Sandham,fsandham6r@wikimedia.org,62.185.27.175,switch,2020-10-08,636745792-5,13.10,55.6780389,12.577906
245,Clem,Mayoral,cmayoral6s@redcross.org,75.186.219.28,switch,2020-02-28,571678824-6,18.17,-23.7661064,-53.3206105
246,Lemuel,Surgen,lsurgen6t@symantec.com,177.131.163.176,jcb,2020-04-05,688716884-7,34.13,58.1483629,24.9513595
247,Carolynn,Happs,chapps6u@weibo.com,176.159.153.88,diners-club-enroute,2020-09-08,344553833-6,67.23,15.1955811,104.8304807
248,Christy,Dawidowicz,cdawidowicz6v@google.cn,137.156.174.64,visa-electron,2020-05-20,024292866-8,84.61,48.4089744,135.123385
249,Martainn,Elies,melies6w@vkontakte.ru,31.207.178.172,diners-club-enroute,2020-04-05,262998519-9,47.05,54.7556556,38.8869951
250,Maury,Kellart,mkellart6x@i2i.jp,176.187.23.230,diners-club-enroute,2020-08-06,564842527-9,96.36,40.65157,120.706859
251,Shelley,Chasson,schasson6y@sun.com,31.152.80.217,switch,2020-11-12,902831011-8,63.02,55.6842625,37.8548295
252,Maurizio,Minelli,mminelli6z@sfgate.com,228.222.8.230,jcb,2020-09-07,250190094-4,20.08,22.555259,113.884019
253,Brandais,Dyte,bdyte70@xing.com,217.13.3.147,jcb,2020-10-14,011163310-9,62.98,17.8200009,120.4544261
254,Dorisa,Cohalan,dcohalan71@gmpg.org,122.200.204.244,maestro,2020-07-21,126215519-3,48.67,35.23619,-3.95453
255,Millard,Spleving,mspleving72@cornell.edu,158.77.14.251,mastercard,2020-05-18,702887941-0,78.82,-8.1635406,112.488749
256,Cesya,Gerrelts,cgerrelts73@pinterest.com,81.22.101.79,mastercard,2020-11-05,724298922-1,87.39,-7.2763,108.3561
257,Merrielle,Hunnaball,mhunnaball74@creativecommons.org,1.223.82.126,americanexpress,2020-03-03,308617011-5,23.92,-8.328331,122.9930557
258,Kathy,Simek,ksimek75@example.com,129.84.212.188,jcb,2020-05-17,665565868-3,65.21,41.4514619,-8.4873087
259,Jarrett,Cant,jcant76@hibu.com,210.199.128.82,jcb,2020-11-21,414606483-X,87.27,-8.1132729,-35.0169621
260,Clayborne,Althrope,calthrope77@behance.net,134.12.243.220,jcb,2020-02-05,408874105-6,78.65,13.6741713,100.608395
261,Willetta,Soutter,wsoutter78@symantec.com,8.209.14.140,jcb,2020-01-10,082111576-6,15.11,29.531734,71.6445305
262,Bryan,Pascall,bpascall79@freewebs.com,129.200.88.88,americanexpress,2020-02-26,046240319-X,17.71,60.0097637,30.3262125
263,Elinor,Simms,esimms7a@scribd.com,76.96.72.180,americanexpress,2020-07-29,119585303-3,29.90,-1.0762009,-46.5547852
264,Tessie,Eam,team7b@slashdot.org,162.101.56.33,solo,2020-08-23,308069803-7,46.79,-15.8402218,-70.0218805
265,Egan,Bartlam,ebartlam7c@lulu.com,83.88.89.160,jcb,2020-12-16,064628390-1,83.61,30.699439,115.078981
266,Cristie,Bleas,cbleas7d@weather.com,141.183.171.207,jcb,2020-03-14,286744354-7,80.09,14.413539,-90.633471
267,Herve,Briiginshaw,hbriiginshaw7e@ow.ly,175.123.218.160,jcb,2020-04-01,355667208-1,31.53,-6.9695439,112.5155694
268,Genny,McCleary,gmccleary7f@exblog.jp,32.39.110.100,visa,2020-09-04,003908898-7,87.47,49.3909134,30.1988199
269,Emelen,Haydon,ehaydon7g@jalbum.net,47.136.9.93,bankcard,2020-11-30,773817880-9,97.29,-14.3386959,-72.8936384
270,Katrinka,Farn,kfarn7h@plala.or.jp,127.224.230.161,americanexpress,2020-01-07,969951981-9,39.62,6.4968574,2.6288523
271,Konrad,Hanshawe,khanshawe7i@phoca.cz,56.92.173.201,jcb,2020-06-30,701693925-1,77.41,24.202112,116.555397
272,Ronny,Maiden,rmaiden7j@github.com,110.181.159.210,visa,2020-03-24,957043486-4,51.29,59.5495402,16.5190048
273,Desdemona,Bleibaum,dbleibaum7k@taobao.com,134.65.251.193,jcb,2020-11-09,481932379-2,36.00,36.7715984,10.2768388
274,Emmalyn,Lewknor,elewknor7l@theglobeandmail.com,210.53.88.220,jcb,2020-03-26,756761675-0,85.17,-9.113585,-37.119659
275,Iseabal,Curnock,icurnock7m@answers.com,243.152.70.39,mastercard,2020-12-10,768277363-4,99.96,54.939518,37.4014986
276,Leroy,Slym,lslym7n@angelfire.com,123.87.240.3,jcb,2020-10-06,546376980-X,31.27,31.282537,120.819425
277,Lory,Densell,ldensell7o@mail.ru,23.125.67.229,jcb,2020-12-20,061894474-5,83.08,6.750597,-76.02611
278,Andris,Handke,ahandke7p@buzzfeed.com,194.217.190.191,jcb,2020-03-14,650188006-8,59.62,51.78914,21.59133
279,Melly,Hatje,mhatje7q@yahoo.com,173.98.184.238,jcb,2020-04-09,751589188-2,96.55,45.477613,124.47553
280,Raynor,Playden,rplayden7r@skype.com,92.155.1.213,jcb,2020-03-26,138326088-5,62.88,16.9818844,104.4490398
281,Rivi,Letchford,rletchford7s@tripod.com,34.211.137.48,jcb,2020-02-08,795901210-5,11.40,12.0379785,124.6581969
282,Tiffi,Height,theight7t@exblog.jp,63.18.5.100,jcb,2020-07-29,196337328-6,86.29,25.1434095,-12.3714463
283,Gabriela,Trett,gtrett7u@dell.com,224.12.87.64,diners-club-carte-blanche,2020-09-13,962510003-2,43.83,14.5001422,121.0394028
284,Boyce,Merryweather,bmerryweather7v@bizjournals.com,232.210.162.162,diners-club-enroute,2020-12-08,008303935-X,37.63,54.5228434,26.1917421
285,Hartwell,Cozzi,hcozzi7w@blogtalkradio.com,74.20.187.114,jcb,2020-06-03,179881150-2,45.81,-12.1768359,44.3862983
286,Brande,Squirrell,bsquirrell7x@reddit.com,224.40.8.91,bankcard,2020-04-06,795414477-1,45.69,35.3756077,-94.4313928
287,Ermengarde,Stendell,estendell7y@rakuten.co.jp,41.99.165.139,mastercard,2020-12-29,008910308-4,63.28,16.0080573,120.4068073
288,Briant,Howat,bhowat7z@cdc.gov,9.251.57.17,jcb,2020-08-14,958887370-3,6.45,5.9031249,0.9868468
289,Perle,Figgures,pfiggures80@opensource.org,119.184.115.107,americanexpress,2020-08-26,506910440-3,10.11,10.2963526,1.3806902
290,Holmes,Rockall,hrockall81@rediff.com,164.116.133.227,visa,2020-11-23,395883103-6,10.07,43.9760578,17.5275042
291,Pavlov,Blasi,pblasi82@yahoo.co.jp,96.108.155.162,jcb,2020-04-10,684006805-6,18.01,39.495941,63.85672
292,Van,Meletti,vmeletti83@tripadvisor.com,130.202.172.216,jcb,2020-10-03,162154074-X,99.80,30.224471,118.511306
293,Zia,Billie,zbillie84@tinyurl.com,111.98.180.169,visa,2020-02-22,893278856-1,33.49,47.0101212,-68.1437314
294,Jacquelin,Popelay,jpopelay85@eventbrite.com,175.45.167.215,jcb,2020-07-01,469603136-5,55.96,18.278467,100.179649
295,Franciska,Jasper,fjasper86@answers.com,148.204.157.21,solo,2020-10-03,838377801-5,72.21,48.223292,46.7267949
296,Alastair,Hedling,ahedling87@bloomberg.com,62.171.145.170,americanexpress,2020-11-01,584485496-9,82.25,31.6166667,130.3333333
297,Susy,Firks,sfirks88@fc2.com,167.49.121.37,jcb,2020-10-31,274938619-5,66.79,12.8775114,10.4565159
298,Nevile,Serfati,nserfati89@ft.com,78.199.45.95,switch,2020-05-19,976223957-1,62.86,-34.588234,-58.6876178
299,Caresse,Zute,czute8a@eepurl.com,101.13.129.222,jcb,2020-08-05,635927733-6,55.04,15.3362649,-88.5529063
300,Gilles,Heffron,gheffron8b@illinois.edu,46.206.94.29,maestro,2020-12-05,097046910-1,12.50,50.0628163,19.722311
301,Emera,Bottle,ebottle8c@over-blog.com,105.227.84.82,jcb,2020-05-19,147197882-6,7.54,31.221517,121.544379
302,Angelia,Paxman,apaxman8d@fastcompany.com,72.137.234.82,jcb,2020-02-18,783905934-1,49.59,25.456453,103.240546
303,Elvina,Trenholm,etrenholm8e@cnn.com,236.245.231.58,china-unionpay,2020-10-19,231209578-5,77.87,3.07548,116.447998
304,Hestia,Secret,hsecret8f@businessinsider.com,77.100.212.233,laser,2020-04-17,525957265-3,6.99,32.026097,112.232692
305,Bennie,Samet,bsamet8g@tinyurl.com,181.216.162.90,diners-club-carte-blanche,2020-08-13,096008851-2,79.56,49.30155,23.5414504
306,Waite,Kornacki,wkornacki8h@list-manage.com,84.241.214.196,jcb,2020-06-20,085200236-X,73.78,11.646909,124.8692275
307,Agnella,Le Blond,aleblond8i@unesco.org,232.202.87.171,jcb,2020-04-18,157464180-8,57.05,13.6224855,100.8512816
308,Amelina,Field,afield8j@columbia.edu,110.214.1.186,instapayment,2020-03-17,829006082-3,25.88,28.0250371,57.745955
309,Katharina,Leahy,kleahy8k@berkeley.edu,8.86.44.191,jcb,2020-12-20,723115802-1,59.20,-23.2987827,-45.9662542
310,Dill,Goakes,dgoakes8l@google.com.br,46.17.171.85,jcb,2020-06-30,481538069-4,61.89,59.6170081,52.4618922
311,Vikki,Spinage,vspinage8m@theguardian.com,237.101.110.52,solo,2020-04-22,401996017-8,30.85,35.2970392,25.0182231
312,Scottie,Dendon,sdendon8n@godaddy.com,190.25.48.72,switch,2020-04-13,575712718-X,10.19,33.4484729,130.0402377
313,Ania,Gregoriou,agregoriou8o@meetup.com,71.241.157.120,jcb,2020-01-14,800972407-6,5.53,19.0077085,-69.7320914
314,Mollie,Knutsen,mknutsen8p@psu.edu,182.128.71.136,china-unionpay,2020-02-11,253665228-9,70.44,15.1805822,102.2575235
315,Engelbert,Slaten,eslaten8q@apple.com,138.181.160.145,visa,2020-07-13,294179161-2,51.96,62.9663709,27.6707397
316,Shaina,Dimont,sdimont8r@wordpress.com,96.110.22.207,mastercard,2020-05-09,648641738-2,91.61,55.8437552,38.3176424
317,Stephenie,Keegan,skeegan8s@altervista.org,109.27.8.68,jcb,2020-05-02,973165404-6,29.05,-11.8480193,-55.5081012
318,Georgie,Carbert,gcarbert8t@bloomberg.com,182.148.253.159,switch,2020-08-18,714170511-2,99.67,38.310868,114.565109
319,Mercedes,Gooke,mgooke8u@livejournal.com,224.116.72.117,americanexpress,2020-05-23,872510301-6,84.08,14.7268634,100.7830826
320,Troy,Mussington,tmussington8v@yellowpages.com,232.179.131.172,jcb,2020-08-13,001578025-2,6.03,48.9059421,17.4598869
321,Natale,Raynard,nraynard8w@barnesandnoble.com,72.116.31.118,laser,2020-04-08,028561045-7,54.06,41.509666,-7.9858152
322,Stepha,McGing,smcging8x@shutterfly.com,75.188.88.71,visa-electron,2020-10-15,471955913-1,6.61,9.1914538,-10.1143176
323,Gwenneth,Girardoni,ggirardoni8y@sitemeter.com,59.155.88.192,switch,2020-06-18,445673265-2,54.49,48.4353479,-68.5537635
324,Kikelia,Arkwright,karkwright8z@odnoklassniki.ru,252.154.192.197,switch,2020-07-21,292581870-6,41.62,4.6376919,9.6870459
325,Donica,Canto,dcanto90@example.com,76.220.134.11,switch,2020-09-21,761737977-3,59.84,-4.2141655,142.8151948
326,Othelia,Micah,omicah91@unicef.org,151.53.170.250,bankcard,2020-11-09,378967375-7,85.62,59.3778462,18.0367294
327,Aeriell,O' Mahony,aomahony92@washington.edu,57.138.104.98,diners-club-us-ca,2020-07-10,177616857-7,19.32,-25.3631459,-49.0801588
328,Desmond,Craker,dcraker93@lulu.com,195.172.233.205,jcb,2020-09-05,448963921-X,35.86,32.7014728,51.1559259
329,Nil,Spickett,nspickett94@fema.gov,241.236.188.204,maestro,2020-05-15,753982594-4,82.49,39.1002506,23.0771373
330,Frasier,Housaman,fhousaman95@washingtonpost.com,84.82.179.27,maestro,2020-03-25,205404171-8,30.83,35.9581394,140.3212196
331,Anabal,Vallens,avallens96@i2i.jp,144.227.202.123,jcb,2020-03-21,462119817-3,77.14,52.3770271,4.9192294
332,Mikkel,Wartonby,mwartonby97@github.io,182.223.219.72,diners-club-enroute,2020-12-27,356026340-9,61.56,42.2984455,47.4196463
333,Mada,Drew,mdrew98@posterous.com,175.59.65.96,switch,2020-11-14,104628347-2,81.62,49.6005751,6.3670151
334,Alwin,Filpi,afilpi99@utexas.edu,102.91.158.97,jcb,2020-06-28,312088214-3,78.34,24.6233771,-75.6702647
335,Perry,Coombes,pcoombes9a@washingtonpost.com,42.33.176.253,maestro,2020-02-20,822673338-3,16.71,25.112046,99.161761
336,Lawrence,Raddin,lraddin9b@harvard.edu,182.124.126.112,jcb,2020-05-24,855299246-9,41.43,35.23375,115.480656
337,Cinnamon,Mowlam,cmowlam9c@ftc.gov,50.55.120.207,china-unionpay,2020-03-01,287194244-7,22.19,35.1083109,136.1458137
338,Aleece,Bramley,abramley9d@dagondesign.com,30.52.229.160,diners-club-enroute,2020-04-28,442615346-8,88.35,46.880102,127.507824
339,Noah,Freyn,nfreyn9e@usatoday.com,67.70.225.239,switch,2020-10-08,466373889-3,94.44,28.00872,-15.3980224
340,Arlyne,Rubinfajn,arubinfajn9f@alexa.com,198.231.214.161,jcb,2020-06-16,065306215-X,36.41,10.7782801,106.9447146
341,Tuckie,Camilli,tcamilli9g@shop-pro.jp,126.31.58.185,visa-electron,2020-06-19,184466614-X,14.79,46.0382659,-72.0118164
342,Minor,Asty,masty9h@abc.net.au,215.42.10.37,jcb,2020-01-03,360829327-2,28.10,10.3826093,124.9206233
343,Kendricks,Noods,knoods9i@homestead.com,7.196.154.180,jcb,2020-08-21,168371575-6,33.55,26.1656051,50.5523828
344,Tabitha,Glitherow,tglitherow9j@youtu.be,86.148.75.239,jcb,2020-01-25,692542045-5,31.91,32.2821952,-90.2291565
345,Moshe,Hamfleet,mhamfleet9k@wordpress.org,203.129.105.10,laser,2020-03-13,060755980-2,82.91,42.785791,124.111099
346,Korey,Dysart,kdysart9l@springer.com,30.238.98.155,maestro,2020-02-01,704548794-0,10.98,16.2107446,102.4839212
347,Philippine,Blincko,pblincko9m@japanpost.jp,217.177.196.154,china-unionpay,2020-12-24,836622379-5,94.17,62.2666019,27.1252002
348,Sallie,Scoble,sscoble9n@engadget.com,196.207.59.165,visa-electron,2020-03-30,190493982-1,37.46,50.7734719,18.9680842
349,Esdras,Giabucci,egiabucci9o@blinklist.com,24.31.52.203,jcb,2020-03-16,818893825-4,28.73,41.4488926,48.6388661
350,Karissa,Jahner,kjahner9p@foxnews.com,208.145.249.71,jcb,2020-01-19,130969066-9,18.86,38.569555,114.040348
351,Deny,Thorp,dthorp9q@google.es,12.18.137.0,americanexpress,2020-01-08,383540265-X,15.68,15.1163904,120.0624898
352,Paige,Kale,pkale9r@dedecms.com,141.97.26.217,mastercard,2020-02-14,536994537-3,21.86,25.242158,117.326355
353,Rollin,Beharrell,rbeharrell9s@dell.com,199.249.237.33,laser,2020-08-10,249666519-9,41.71,44.34072,129.4828511
354,Ware,Diter,wditer9t@github.com,159.148.65.121,china-unionpay,2020-09-23,449542174-3,93.91,31.172739,115.008163
355,Moe,Howles,mhowles9u@cornell.edu,35.128.194.62,jcb,2020-10-25,033834118-8,98.95,-29.5904737,-51.3738524
356,Tedi,Traill,ttraill9v@bloglovin.com,52.149.91.189,jcb,2020-11-11,992705200-6,90.22,34.723382,116.940771
357,Leesa,Meegin,lmeegin9w@berkeley.edu,195.26.65.15,jcb,2020-10-07,312963195-X,83.29,-7.7291029,110.6764877
358,Nicola,McMenemy,nmcmenemy9x@hubpages.com,103.62.144.133,jcb,2020-06-17,772474659-1,60.35,52.7704654,17.9583306
359,Holly,Delgadillo,hdelgadillo9y@cloudflare.com,245.23.254.84,jcb,2020-10-10,718426314-6,84.43,-7.918516,-78.705509
360,Trstram,Scotchford,tscotchford9z@ow.ly,157.67.49.124,instapayment,2020-08-19,355023757-X,23.37,48.239431,129.3909831
361,Osbourne,Gisburne,ogisburnea0@cargocollective.com,23.87.56.144,jcb,2020-03-16,807588794-8,51.08,39.7546452,-8.5234076
362,Erroll,Gamage,egamagea1@businessweek.com,166.161.213.202,jcb,2020-05-06,282301087-4,34.36,0.6567283,-76.5929328
363,Heath,Rubra,hrubraa2@accuweather.com,6.215.179.167,jcb,2020-09-06,048512104-2,30.59,41.0610542,24.9613827
364,Cristionna,Shakesby,cshakesbya3@freewebs.com,180.15.206.153,bankcard,2020-12-03,629221324-2,94.86,43.4968733,-1.4703339
365,Sylas,Sloper,sslopera4@psu.edu,212.225.57.26,americanexpress,2020-03-31,730873709-8,42.76,-20.6670494,-42.8618635
366,Lacie,Schultz,lschultza5@geocities.com,250.106.180.222,jcb,2020-06-28,036677870-6,33.59,-9.7934897,124.4319309
367,Darb,Beebe,dbeebea6@google.co.jp,149.50.243.92,jcb,2020-05-24,245655355-1,35.52,35.7819637,37.4974776
368,Sharai,Spacy,sspacya7@comcast.net,65.222.236.215,jcb,2020-03-11,475647692-9,82.90,30.864034,120.09953
369,Elisabetta,Weekland,eweeklanda8@huffingtonpost.com,12.92.40.208,jcb,2020-07-02,157680247-7,80.25,36.478493,119.218978
370,Fredric,Patis,fpatisa9@illinois.edu,17.5.64.65,maestro,2020-05-09,554599437-8,17.55,-9.8492904,119.7371425
371,Forrest,Rizzardo,frizzardoaa@nytimes.com,214.235.252.50,visa-electron,2020-03-15,978176968-8,86.06,58.9918209,55.1890813
372,Boone,Lilie,blilieab@businessweek.com,39.13.156.48,americanexpress,2020-08-08,583685997-3,56.56,41.2592586,-8.3332193
373,Jone,Faulks,jfaulksac@mapy.cz,254.199.49.155,mastercard,2020-04-03,969600013-8,27.63,54.8625893,69.2398607
374,Cathrin,McCorkell,cmccorkellad@google.es,243.109.189.34,americanexpress,2020-11-04,603042873-X,38.74,51.6781161,79.7893754
375,Justin,Stobbart,jstobbartae@ask.com,12.165.39.100,china-unionpay,2020-05-01,247161649-6,81.71,18.1646497,-73.8110279
376,Farand,Lempertz,flempertzaf@blogtalkradio.com,244.43.131.233,americanexpress,2020-01-23,232595128-6,68.77,-6.957504,112.834114
377,Cathryn,Slobom,cslobomag@joomla.org,86.234.119.25,diners-club-enroute,2020-02-21,001468441-1,48.43,15.1689378,-7.2895663
378,Gardiner,Coughlan,gcoughlanah@com.com,238.68.210.42,jcb,2020-02-03,384943567-9,69.82,29.761159,105.931414
379,Rayner,Gasquoine,rgasquoineai@pbs.org,183.138.50.142,jcb,2020-04-18,744460204-2,52.22,31.260046,107.526896
380,Mellicent,Benitti,mbenittiaj@vimeo.com,177.255.26.53,jcb,2020-04-12,703564826-7,55.07,35.0743086,134.8867891
381,Natty,Tilio,ntilioak@wp.com,61.55.166.176,americanexpress,2020-12-26,936872297-8,58.60,47.918302,106.915572
382,Truda,Bowler,tbowleral@businessinsider.com,214.162.228.221,bankcard,2020-02-23,108842216-0,62.48,-6.6328316,111.1041635
383,Tawsha,Wyrill,twyrillam@technorati.com,235.120.91.63,diners-club-international,2020-01-23,399830866-0,89.06,55.7242814,37.1853286
384,Yancey,Fitt,yfittan@indiegogo.com,211.48.107.112,jcb,2020-08-05,549595481-5,48.06,14.5403397,121.0268687
385,Alison,Treadger,atreadgerao@webnode.com,21.206.166.124,switch,2020-04-05,252398299-4,64.43,48.235668,16.373098
386,Linn,Rispen,lrispenap@friendfeed.com,241.231.102.230,jcb,2020-02-18,228833812-1,53.52,19.6632775,-99.2058279
387,Wang,Ringrose,wringroseaq@netlog.com,139.170.207.99,jcb,2020-11-21,899243664-5,20.90,47.859986,-3.6006683
388,Arabella,Bedell,abedellar@oakley.com,165.159.213.11,jcb,2020-01-31,059268706-6,90.44,52.0103249,19.8082463
389,Catlin,McAllester,cmcallesteras@ucla.edu,169.166.153.210,jcb,2020-10-04,563987081-8,11.38,51.9034509,16.955476
390,Borg,Mellsop,bmellsopat@goodreads.com,243.198.207.239,mastercard,2020-02-20,365941920-6,76.43,37.87059,112.548879
391,Imogen,Pinkie,ipinkieau@nature.com,151.229.134.80,jcb,2020-05-24,785510790-8,37.11,46.857141,130.325723
392,Juana,Got,jgotav@bbc.co.uk,28.40.152.243,americanexpress,2020-12-11,066486206-3,26.14,23.0714717,90.9120501
393,Flo,Haseley,fhaseleyaw@imageshack.us,74.131.231.64,jcb,2020-01-14,325342883-4,32.58,43.8562586,18.4130763
394,Yasmin,Bromwich,ybromwichax@hatena.ne.jp,48.10.172.26,jcb,2020-05-24,361944754-3,50.26,18.0443274,-76.2754275
395,Mendy,Aldersea,malderseaay@cocolog-nifty.com,45.15.102.143,switch,2020-11-16,007755547-3,76.58,1.3483826,125.0498292
396,Augustine,Eaglesham,aeagleshamaz@dell.com,21.221.18.227,jcb,2020-12-05,118050181-0,17.41,20.6482704,-75.9289046
397,Maryl,Fossett,mfossettb0@house.gov,213.151.148.236,jcb,2020-05-20,057586217-3,91.59,25.075123,117.017536
398,Cele,Zammitt,czammittb1@ebay.co.uk,63.197.246.70,jcb,2020-07-24,572822552-7,64.47,43.6188697,19.3702897
399,Rhys,Graveston,rgravestonb2@weibo.com,236.14.95.137,diners-club-carte-blanche,2020-10-07,661563076-1,32.70,32.3196827,15.1025075
400,Nata,Passo,npassob3@photobucket.com,86.9.95.131,mastercard,2020-12-02,185154705-3,83.32,22.141482,113.83012
401,Gypsy,Birtchnell,gbirtchnellb4@loc.gov,148.133.227.173,switch,2020-02-22,849388739-0,94.14,56.606956,26.7599531
402,Thatcher,Hemms,themmsb5@ucla.edu,135.210.152.136,switch,2020-11-21,678292593-1,75.59,-8.1830575,113.9358031
403,Cesare,Lean,cleanb6@alexa.com,33.2.26.162,jcb,2020-07-03,040847148-4,40.70,24.5167005,44.4181786
404,Tisha,Fehners,tfehnersb7@mozilla.com,217.159.185.1,jcb,2020-11-20,118388808-2,88.68,32.20068,35.21293
405,Phillip,Sahlstrom,psahlstromb8@techcrunch.com,41.38.140.30,jcb,2020-05-11,069251837-1,91.55,-16.0222492,-49.8004866
406,Ingelbert,Lillgard,ilillgardb9@blog.com,209.205.14.96,jcb,2020-09-17,317938369-0,16.51,14.834691,120.78195
407,Kenyon,Pavlenkov,kpavlenkovba@so-net.ne.jp,7.73.32.226,jcb,2020-11-19,608030805-3,98.95,23.875208,112.542428
408,Nora,Courtes,ncourtesbb@hostgator.com,252.138.61.129,jcb,2020-03-27,214718842-5,71.95,35.0612128,33.4047109
409,Joseph,Hanretty,jhanrettybc@scientificamerican.com,169.102.155.187,maestro,2020-09-25,390194463-X,81.23,59.3316697,18.0278909
410,Saw,Iley,sileybd@cmu.edu,26.197.95.177,china-unionpay,2020-09-22,224283028-7,60.96,-6.9492609,113.7841073
411,Jasmine,Bridgwood,jbridgwoodbe@amazon.co.uk,70.76.81.43,bankcard,2020-09-05,494942843-8,56.10,9.5109216,123.1331939
